# it, nbArbresSains, nbArbresEnFeu
0,16,0
1,16,0
2,16,0
3,16,0
4,16,0
5,16,0
6,16,0
7,16,0
8,16,0
9,16,0
10,16,0
11,16,0
12,16,0
13,16,0
14,16,0
15,16,0
16,16,0
17,16,0
18,16,0
19,16,0
20,16,0
21,16,0
22,16,0
23,16,0
24,16,0
25,16,0
26,16,0
27,16,0
28,16,0
29,16,0
30,16,0
31,16,0
32,16,0
33,16,0
34,16,0
35,16,0
36,16,0
37,16,0
38,16,0
39,16,0
40,16,0
41,16,0
42,16,0
43,16,0
44,16,0
45,16,0
46,16,0
47,16,0
48,16,0
49,16,0
50,16,0
51,16,0
52,16,0
53,16,0
54,16,0
55,16,0
56,16,0
57,16,0
58,16,0
59,16,0
60,16,0
61,16,0
62,16,0
63,16,0
64,16,0
65,16,0
66,16,0
67,16,0
68,16,0
69,16,0
70,16,0
71,16,0
72,16,0
73,16,0
74,16,0
75,16,0
76,16,0
77,16,0
78,16,0
79,16,0
80,16,0
81,16,0
82,16,0
83,16,0
84,16,0
85,16,0
86,16,0
87,16,0
88,16,0
89,16,0
90,16,0
91,16,0
92,16,0
93,16,0
94,16,0
95,16,0
96,16,0
97,16,0
98,16,0
99,16,0
100,16,0
101,16,0
102,16,0
103,16,0
104,16,0
105,16,0
106,16,0
107,16,0
108,16,0
109,16,0
110,16,0
111,16,0
112,16,0
113,16,0
114,16,0
115,16,0
116,16,0
117,16,0
118,16,0
119,16,0
120,16,0
121,16,0
122,16,0
123,16,0
124,16,0
125,16,0
126,16,0
127,16,0
128,16,0
129,16,0
130,16,0
131,16,0
132,16,0
133,16,0
134,16,0
135,16,0
136,16,0
137,16,0
138,16,0
139,16,0
140,16,0
141,16,0
142,16,0
143,16,0
144,16,0
145,16,0
146,16,0
147,16,0
148,16,0
149,16,0
150,16,0
151,16,0
152,16,0
153,16,0
154,16,0
155,16,0
156,16,0
157,16,0
158,16,0
159,16,0
160,16,0
161,16,0
162,16,0
163,16,0
164,16,0
165,16,0
166,16,0
167,16,0
168,16,0
169,16,0
170,16,0
171,16,0
172,16,0
173,16,0
174,16,0
175,16,0
176,16,0
177,16,0
178,16,0
179,16,0
180,16,0
181,16,0
182,16,0
183,16,0
184,16,0
185,16,0
186,16,0
187,16,0
188,16,0
189,16,0
190,16,0
191,16,0
192,16,0
193,16,0
194,16,0
195,16,0
196,16,0
197,16,0
198,16,0
199,16,0
200,16,0
201,16,0
202,16,0
203,16,0
204,16,0
205,16,0
206,16,0
207,16,0
208,16,0
209,16,0
210,16,0
211,16,0
212,16,0
