# it, nbPoule, nbRenard, nbVipere
0,12,8,5
1,12,8,5
2,12,8,5
3,12,8,5
4,12,8,5
5,12,8,5
6,12,8,5
7,12,8,5
8,12,8,5
9,12,8,5
10,12,8,5
11,12,8,5
12,12,8,5
13,12,8,5
14,12,8,5
15,12,8,5
16,12,8,5
17,12,8,5
18,12,8,5
19,12,8,5
20,12,8,5
21,12,8,5
22,12,8,5
23,12,8,5
24,12,8,5
25,12,8,5
26,12,8,5
27,12,8,5
28,12,8,5
29,12,8,5
30,12,8,5
31,12,8,5
32,12,8,5
33,12,8,5
34,12,8,5
35,12,8,5
36,12,8,5
37,12,8,5
38,12,8,5
39,12,8,5
40,12,8,5
41,12,8,5
42,12,8,5
43,12,8,5
44,12,8,5
45,12,8,5
46,12,8,5
47,12,8,5
48,12,8,5
49,12,8,5
50,12,8,5
51,12,8,5
52,12,8,5
53,12,8,5
54,12,8,5
55,12,8,5
56,12,8,5
57,12,8,5
58,12,8,5
59,12,8,5
60,12,8,5
61,12,8,5
62,12,8,5
63,12,8,5
64,12,8,5
65,12,8,5
66,12,8,5
67,12,8,5
68,12,8,5
69,12,8,5
70,12,8,5
71,12,8,5
72,12,8,5
73,12,8,5
74,12,8,5
75,12,8,5
76,12,8,5
77,12,8,5
78,12,8,5
79,12,8,5
80,12,8,5
81,12,8,5
82,12,8,5
83,12,8,5
84,12,7,5
85,12,7,5
86,12,7,5
87,12,7,5
88,12,7,5
89,12,7,5
90,12,7,5
91,12,7,5
92,12,7,5
93,12,7,5
94,12,7,5
95,12,7,5
96,12,7,5
97,12,7,5
98,12,7,5
99,12,7,5
100,12,7,5
101,12,7,5
102,12,7,5
103,12,7,5
104,12,7,5
105,12,7,5
106,12,7,5
107,12,7,5
108,12,7,5
109,12,7,5
110,12,7,5
111,12,7,5
112,12,7,5
113,12,7,5
114,12,7,5
115,12,7,5
116,12,7,5
117,12,7,5
118,12,7,5
119,12,7,5
120,12,7,5
121,12,7,5
122,12,7,5
123,12,7,5
124,12,7,5
125,12,7,5
126,12,7,5
127,12,7,5
128,12,7,5
129,12,7,5
130,12,7,5
131,12,7,5
132,13,7,5
133,13,7,5
134,13,7,5
135,13,7,5
136,13,7,5
137,13,7,5
138,13,7,5
139,13,7,5
140,13,7,5
141,13,7,5
142,13,7,5
143,13,7,5
144,13,7,5
145,13,7,5
146,13,7,5
147,13,7,5
148,13,7,5
149,13,7,5
150,13,7,5
151,13,7,5
152,13,7,5
153,13,7,5
154,13,7,5
155,13,7,5
156,13,7,5
157,13,7,5
158,13,7,5
159,13,7,5
160,13,7,5
161,13,7,5
162,13,6,5
163,13,6,5
164,13,6,5
165,13,6,5
166,13,6,5
167,13,6,5
168,14,6,5
169,14,6,5
170,14,6,5
171,14,6,5
172,14,6,5
173,14,6,5
174,14,6,5
175,14,6,5
176,14,6,5
177,14,6,5
178,14,6,5
179,14,6,5
180,14,6,5
181,14,6,5
182,14,6,5
183,14,6,5
184,14,6,5
185,14,6,5
186,14,6,5
187,14,6,5
188,14,6,5
189,14,6,5
190,14,6,5
191,14,6,5
192,14,6,5
193,14,6,5
194,14,6,5
195,14,6,5
196,14,6,5
197,14,6,5
198,15,6,5
199,15,6,5
200,15,6,5
201,15,6,5
202,15,6,5
203,15,6,5
204,15,5,5
205,15,5,5
206,15,5,5
207,15,5,5
208,15,5,5
209,15,5,5
210,15,5,5
211,15,5,5
212,15,5,5
213,15,5,5
214,15,5,5
215,15,5,5
216,15,5,4
217,15,5,4
218,15,5,4
219,15,5,4
220,15,5,4
221,15,5,4
222,15,5,4
223,15,5,4
224,15,5,4
225,15,5,4
226,15,5,4
227,15,5,4
228,15,6,4
229,15,6,4
230,15,6,4
231,15,6,4
232,15,6,4
233,15,6,4
234,15,6,4
235,15,6,4
236,15,6,4
237,15,6,4
238,15,6,4
239,15,6,4
240,15,6,4
241,15,6,4
242,15,6,4
243,15,6,4
244,15,6,4
245,15,6,4
246,15,6,4
247,15,6,4
248,15,6,4
249,15,6,4
250,15,6,4
251,15,6,4
252,15,6,4
253,15,6,4
254,15,6,4
255,15,6,4
256,15,6,4
257,15,6,4
258,15,6,4
259,15,6,4
260,15,6,4
261,15,6,4
262,15,6,4
263,15,6,4
264,15,6,4
265,15,6,4
266,15,6,4
267,15,6,4
268,15,6,4
269,15,6,4
270,15,6,4
271,15,6,4
272,15,6,4
273,15,6,4
274,15,6,4
275,15,6,4
276,15,6,4
277,15,6,4
278,15,6,4
279,15,6,4
280,15,6,4
281,15,6,4
282,15,5,4
283,15,5,4
284,15,5,4
285,15,5,4
286,15,5,4
287,15,5,4
288,15,6,3
289,15,6,3
290,15,6,3
291,15,6,3
292,15,6,3
293,15,6,3
294,15,6,3
295,15,6,3
296,15,6,3
297,15,6,3
298,15,6,3
299,15,6,3
300,14,6,3
301,14,6,3
302,14,6,3
303,14,6,3
304,14,6,3
305,14,6,3
306,14,6,3
307,14,6,3
308,14,6,3
309,14,6,3
310,14,6,3
311,14,6,3
312,14,6,3
313,14,6,3
314,14,6,3
315,14,6,3
316,14,6,3
317,14,6,3
318,14,6,3
319,14,6,3
320,14,6,3
321,14,6,3
322,14,6,3
323,14,6,3
324,15,6,4
325,15,6,4
326,15,6,4
327,15,6,4
328,15,6,4
329,15,6,4
330,15,6,4
331,15,6,4
332,15,6,4
333,15,6,4
334,15,6,4
335,15,6,4
336,15,6,4
337,15,6,4
338,15,6,4
339,15,6,4
340,15,6,4
341,15,6,4
342,15,6,4
343,15,6,4
344,15,6,4
345,15,6,4
346,15,6,4
347,15,6,4
348,15,6,4
349,15,6,4
350,15,6,4
351,15,6,4
352,15,6,4
353,15,6,4
354,15,6,4
355,15,6,4
356,15,6,4
357,15,6,4
358,15,6,4
359,15,6,4
360,15,6,4
361,15,6,4
362,15,6,4
363,15,6,4
364,15,6,4
365,15,6,4
366,15,6,4
367,15,6,4
368,15,6,4
369,15,6,4
370,15,6,4
371,15,6,4
372,15,6,4
373,15,6,4
374,15,6,4
375,15,6,4
376,15,6,4
377,15,6,4
378,15,6,4
379,15,6,4
380,15,6,4
381,15,6,4
382,15,6,4
383,15,6,4
384,15,6,5
385,15,6,5
386,15,6,5
387,15,6,5
388,15,6,5
389,15,6,5
390,15,6,5
391,15,6,5
392,15,6,5
393,15,6,5
394,15,6,5
395,15,6,5
396,15,6,5
397,15,6,5
398,15,6,5
399,15,6,5
400,15,6,5
401,15,6,5
402,15,6,5
403,15,6,5
404,15,6,5
405,15,6,5
406,15,6,5
407,15,6,5
408,15,6,5
409,15,6,5
410,15,6,5
411,15,6,5
412,15,6,5
413,15,6,5
414,15,7,5
